Date,Opponent,Segment,Arena,Location,Attendance,Home Team,Year
29-May-18,Dallas Wings,Regular season,Westchester County Center,"White Plains, NY",1516,New York Liberty,2018
5-Jun-18,Phoenix Mercury,Regular season,Madison Square Garden,"New York, NY",7215,New York Liberty,2018
7-Jun-18,Connecticut Sun,Regular season,Westchester County Center,"White Plains, NY",1581,New York Liberty,2018
10-Jun-18,Indiana Fever,Regular season,Westchester County Center,"White Plains, NY",1537,New York Liberty,2018
13-Jun-18,Las Vegas Aces,Regular season,Westchester County Center,"White Plains, NY",1419,New York Liberty,2018
19-Jun-18,Atlanta Dream,Regular season,Westchester County Center,"White Plains, NY",1627,New York Liberty,2018
26-Jun-18,Phoenix Mercury,Regular season,Westchester County Center,"White Plains, NY",1839,New York Liberty,2018
29-Jun-18,Chicago Sky,Regular season,Westchester County Center,"White Plains, NY",1837,New York Liberty,2018
3-Jul-18,Seattle Storm,Regular season,Westchester County Center,"White Plains, NY",1749,New York Liberty,2018
8-Jul-18,Dallas Wings,Regular season,Westchester County Center,"White Plains, NY",1719,New York Liberty,2018
15-Jul-18,Chicago Sky,Regular season,Westchester County Center,"White Plains, NY",2073,New York Liberty,2018
21-Jul-18,Washington Mystics,Regular season,Westchester County Center,"White Plains, NY",2005,New York Liberty,2018
4-Aug-18,Indiana Fever,Regular season,Westchester County Center,"White Plains, NY",2225,New York Liberty,2018
6-Aug-18,Seattle Storm,Regular season,Madison Square Garden,"New York, NY",12488,New York Liberty,2018
8-Aug-18,Los Angeles Sparks,Regular season,Westchester County Center,"White Plains, NY",2481,New York Liberty,2018
12-Aug-18,Atlanta Dream,Regular season,Westchester County Center,"White Plains, NY",2362,New York Liberty,2018
24-May-19,Indiana Fever,Regular season,Westchester County Center,"White Plains, NY",1965,New York Liberty,2019
4-Jun-19,Los Angeles Sparks,Regular season,Westchester County Center,"New York, NY",3579,New York Liberty,2019
7-Jun-19,Washington Mystics,Regular season,Westchester County Center,"White Plains, NY",1567,New York Liberty,2019
9-Jun-19,Las Vegas Aces,Regular season,Westchester County Center,"White Plains, NY",1447,New York Liberty,2019
12-Jun-19,Minnesota Lynx,Regular season,Westchester County Center,"White Plains, NY",1181,New York Liberty,2019
19-Jun-19,Chicago Sky,Regular season,Westchester County Center,"White Plains, NY",1585,New York Liberty,2019
28-Jun-19,Dallas Wings,Regular season,Westchester County Center,"White Plains, NY",2191,New York Liberty,2019
7-Jul-19,Las Vegas Aces,Regular season,Westchester County Center,"White Plains, NY",1971,New York Liberty,2019
20-Jul-19,Los Angeles Sparks,Regular season,Westchester County Center,"White Plains, NY",2195,New York Liberty,2019
4-Aug-19,Connecticut Sun,Regular season,Westchester County Center,"White Plains, NY",1927,New York Liberty,2019
11-Aug-19,Seattle Storm,Regular season,Barclays Center,"White Plains, NY",7715,New York Liberty,2019
13-Aug-19,Minnesota Lynx,Regular season,Westchester County Center,"New York, NY",1570,New York Liberty,2019
23-Aug-19,Atlanta Dream,Regular season,Westchester County Center,"White Plains, NY",1831,New York Liberty,2019
27-Aug-19,Phoenix Mercury,Regular season,Westchester County Center,"White Plains, NY",1693,New York Liberty,2019
30-Aug-19,Connecticut Sun,Regular season,Westchester County Center,"White Plains, NY",1791,New York Liberty,2019
3-Sep-19,Washington Mystics,Regular season,Westchester County Center,"White Plains, NY",1558,New York Liberty,2019
6-Sep-19,Indiana Fever,Regular season,Westchester County Center,"White Plains, NY",2301,New York Liberty,2019
21-May-23,Indiana Fever,Regular season,Barclays Center,"Brooklyn, NY",8575,New York Liberty,2023
27-May-23,Connecticut Sun,Regular season,Barclays Center,"Brooklyn, NY",7102,New York Liberty,2023
4-Jun-23,Chicago Sky,Regular season,Barclays Center,"Brooklyn, NY",7225,New York Liberty,2023
11-Jun-23,Dallas Wings,Regular season,Barclays Center,"Brooklyn, NY",7615,New York Liberty,2023
13-Jun-23,Atlanta Dream,Regular season,Barclays Center,"Brooklyn, NY",5719,New York Liberty,2023
18-Jun-23,Phoenix Mercury,Regular season,Barclays Center,"Brooklyn, NY",9278,New York Liberty,2023
25-Jun-23,Washington Mystics,Regular season,Barclays Center,"Brooklyn, NY",7285,New York Liberty,2023
5-Jul-23,Phoenix Mercury,Regular season,Barclays Center,"Brooklyn, NY",7151,New York Liberty,2023
8-Jul-23,Seattle Storm,Regular season,Barclays Center,"Brooklyn, NY",6789,New York Liberty,2023
19-Jul-23,Dallas Wings,Regular season,Barclays Center,"Brooklyn, NY",9012,New York Liberty,2023
23-Jul-23,Indiana Fever,Regular season,Barclays Center,"Brooklyn, NY",7371,New York Liberty,2023
25-Jul-23,Seattle Storm,Regular season,Barclays Center,"Brooklyn, NY",6118,New York Liberty,2023
27-Jul-23,Atlanta Dream,Regular season,Barclays Center,"Brooklyn, NY",6206,New York Liberty,2023
28-Jul-23,Minnesota Lynx,Regular season,Barclays Center,"Brooklyn, NY",6129,New York Liberty,2023
6-Aug-23,Las Vegas Aces,Regular season,Barclays Center,"Brooklyn, NY",11418,New York Liberty,2023
11-Aug-23,Chicago Sky,Regular season,Barclays Center,"Brooklyn, NY",8070,New York Liberty,2023
28-Aug-23,Las Vegas Aces,Regular season,Barclays Center,"Brooklyn, NY",11615,New York Liberty,2023
1-Sep-23,Connecticut Sun,Regular season,Barclays Center,"Brooklyn, NY",8276,New York Liberty,2023
7-Sep-23,Los Angeles Sparks,Regular season,Barclays Center,"Brooklyn, NY",6275,New York Liberty,2023
10-Sep-23,Washington Mystics,Regular season,Barclays Center,"Brooklyn, NY",8306,New York Liberty,2023
15-Sep-23,Washington Mystics,First Round,Barclays Center,"Brooklyn, NY",8789,New York Liberty,2023
19-Sep-23,Washington Mystics,First Round,Barclays Center,"Brooklyn, NY",9256,New York Liberty,2023
24-Sep-23,Connecticut Sun,Semifinals,Barclays Center,"Brooklyn, NY",9442,New York Liberty,2023
26-Sep-23,Connecticut Sun,Semifinals,Barclays Center,"Brooklyn, NY",10009,New York Liberty,2023
15-Oct-23,Las Vegas Aces,Finals,Barclays Center,"Brooklyn, NY",17143,New York Liberty,2023
18-Oct-23,Las Vegas Aces,Finals,Barclays Center,"Brooklyn, NY",16851,New York Liberty,2023
14-May-21,Indiana Fever,Regular season,Barclays Center,"Brooklyn, NY",1139,New York Liberty,2021
18-May-21,Minnesota Lynx,Regular season,Barclays Center,"Brooklyn, NY",815,New York Liberty,2021
24-May-21,Dallas Wings,Regular season,Barclays Center,"Brooklyn, NY",894,New York Liberty,2021
29-May-21,Atlanta Dream,Regular season,Barclays Center,"Brooklyn, NY",1235,New York Liberty,2021
3-Jun-21,Las Vegas Aces,Regular season,Barclays Center,"Brooklyn, NY",1389,New York Liberty,2021
22-Jun-21,Chicago Sky,Regular season,Barclays Center,"Brooklyn, NY",1419,New York Liberty,2021
24-Jun-21,Chicago Sky,Regular season,Barclays Center,"Brooklyn, NY",2148,New York Liberty,2021
3-Jul-21,Washington Mystics,Regular season,Barclays Center,"Brooklyn, NY",1615,New York Liberty,2021
5-Jul-21,Dallas Wings,Regular season,Barclays Center,"Brooklyn, NY",1677,New York Liberty,2021
11-Jul-21,Connecticut Sun,Regular season,Barclays Center,"Brooklyn, NY",1988,New York Liberty,2021
18-Aug-21,Seattle Storm,Regular season,Barclays Center,"Brooklyn, NY",2103,New York Liberty,2021
20-Aug-21,Seattle Storm,Regular season,Barclays Center,"Brooklyn, NY",3889,New York Liberty,2021
22-Aug-21,Los Angeles Sparks,Regular season,Barclays Center,"Brooklyn, NY",0,New York Liberty,2021
25-Aug-21,Phoenix Mercury,Regular season,Barclays Center,"Brooklyn, NY",1872,New York Liberty,2021
27-Aug-21,Phoenix Mercury,Regular season,Barclays Center,"Brooklyn, NY",2315,New York Liberty,2021
17-Sep-21,Washington Mystics,Regular season,Barclays Center,"Brooklyn, NY",3615,New York Liberty,2021
7-May-22,Connecticut Sun,Regular season,Barclays Center,"Brooklyn, NY",6829,New York Liberty,2022
13-May-22,Indiana Fever,Regular season,Barclays Center,"Brooklyn, NY",3289,New York Liberty,2022
15-May-22,Dallas Wings,Regular season,Barclays Center,"Brooklyn, NY",3095,New York Liberty,2022
17-May-22,Connecticut Sun,Regular season,Barclays Center,"Brooklyn, NY",3054,New York Liberty,2022
1-Jun-22,Indiana Fever,Regular season,Barclays Center,"Brooklyn, NY",4079,New York Liberty,2022
5-Jun-22,Minnesota Lynx,Regular season,Barclays Center,"Brooklyn, NY",4119,New York Liberty,2022
7-Jun-22,Minnesota Lynx,Regular season,Barclays Center,"Brooklyn, NY",3196,New York Liberty,2022
12-Jun-22,Chicago Sky,Regular season,Barclays Center,"Brooklyn, NY",4810,New York Liberty,2022
16-Jun-22,Washington Mystics,Regular season,Barclays Center,"Brooklyn, NY",4168,New York Liberty,2022
19-Jun-22,Seattle Storm,Regular season,Barclays Center,"Brooklyn, NY",6859,New York Liberty,2022
30-Jun-22,Atlanta Dream,Regular season,Barclays Center,"Brooklyn, NY",6161,New York Liberty,2022
12-Jul-22,Las Vegas Aces,Regular season,Barclays Center,"Brooklyn, NY",5201,New York Liberty,2022
14-Jul-22,Las Vegas Aces,Regular season,Barclays Center,"Brooklyn, NY",9896,New York Liberty,2022
23-Jul-22,Chicago Sky,Regular season,Barclays Center,"Brooklyn, NY",6926,New York Liberty,2022
31-Jul-22,Phoenix Mercury,Regular season,Barclays Center,"Brooklyn, NY",6433,New York Liberty,2022
2-Aug-22,Los Angeles Sparks,Regular season,Barclays Center,"Brooklyn, NY",4891,New York Liberty,2022
3-Aug-22,Los Angeles Sparks,Regular season,Barclays Center,"Brooklyn, NY",5315,New York Liberty,2022
14-Aug-22,Atlanta Dream,Regular season,Barclays Center,"Brooklyn, NY",7561,New York Liberty,2022
23-Aug-22,Chicago Sky,First Round,Barclays Center,"Brooklyn, NY",7837,New York Liberty,2022
10-Jun-99,Houston Comets,Regular season,Amway Arena,"Orlando, FL",15422,Orlando Miracle,1999
15-Jun-99,Los Angeles Sparks,Regular season,Amway Arena,"Orlando, FL",7588,Orlando Miracle,1999
19-Jun-99,Washington Mystics,Regular season,Amway Arena,"Orlando, FL",10218,Orlando Miracle,1999
21-Jun-99,Phoenix Mercury,Regular season,Amway Arena,"Orlando, FL",7771,Orlando Miracle,1999
3-Jul-99,Charlotte Sting,Regular season,Amway Arena,"Orlando, FL",10005,Orlando Miracle,1999
7-Jul-99,Minnesota Lynx,Regular season,Amway Arena,"Orlando, FL",7229,Orlando Miracle,1999
10-Jul-99,Utah Starzz,Regular season,Amway Arena,"Orlando, FL",11186,Orlando Miracle,1999
12-Jul-99,Detroit Shock,Regular season,Amway Arena,"Orlando, FL",8487,Orlando Miracle,1999
16-Jul-99,Charlotte Sting,Regular season,Amway Arena,"Orlando, FL",8826,Orlando Miracle,1999
17-Jul-99,Sacramento Monarchs,Regular season,Amway Arena,"Orlando, FL",10194,Orlando Miracle,1999
29-Jul-99,New York Liberty,Regular season,Amway Arena,"Orlando, FL",11384,Orlando Miracle,1999
4-Aug-99,Cleveland Rockers,Regular season,Amway Arena,"Orlando, FL",9099,Orlando Miracle,1999
9-Aug-99,New York Liberty,Regular season,Amway Arena,"Orlando, FL",9059,Orlando Miracle,1999
12-Aug-99,Cleveland Rockers,Regular season,Amway Arena,"Orlando, FL",7028,Orlando Miracle,1999
15-Aug-99,Washington Mystics,Regular season,Amway Arena,"Orlando, FL",11283,Orlando Miracle,1999
18-Aug-99,Detroit Shock,Regular season,Amway Arena,"Orlando, FL",12039,Orlando Miracle,1999
1-Jun-00,Charlotte Sting,Regular season,Amway Arena,"Orlando, FL",6890,Orlando Miracle,2000
5-Jun-00,Sacramento Monarchs,Regular season,Amway Arena,"Orlando, FL",7043,Orlando Miracle,2000
8-Jun-00,Minnesota Lynx,Regular season,Amway Arena,"Orlando, FL",5731,Orlando Miracle,2000
17-Jun-00,Indiana Fever,Regular season,Amway Arena,"Orlando, FL",7300,Orlando Miracle,2000
22-Jun-00,Cleveland Rockers,Regular season,Amway Arena,"Orlando, FL",6241,Orlando Miracle,2000
24-Jun-00,Charlotte Sting,Regular season,Amway Arena,"Orlando, FL",6803,Orlando Miracle,2000
26-Jun-00,Houston Comets,Regular season,Amway Arena,"Orlando, FL",7427,Orlando Miracle,2000
28-Jun-00,Miami Sol,Regular season,Amway Arena,"Orlando, FL",5744,Orlando Miracle,2000
1-Jul-00,New York Liberty,Regular season,Amway Arena,"Orlando, FL",7339,Orlando Miracle,2000
6-Jul-00,Indiana Fever,Regular season,Amway Arena,"Orlando, FL",7081,Orlando Miracle,2000
8-Jul-00,Seattle Storm,Regular season,Amway Arena,"Orlando, FL",8266,Orlando Miracle,2000
14-Jul-00,New York Liberty,Regular season,Amway Arena,"Orlando, FL",8864,Orlando Miracle,2000
19-Jul-00,Detroit Shock,Regular season,Amway Arena,"Orlando, FL",9464,Orlando Miracle,2000
23-Jul-00,Utah Starzz,Regular season,Amway Arena,"Orlando, FL",8048,Orlando Miracle,2000
6-Aug-00,Detroit Shock,Regular season,Amway Arena,"Orlando, FL",8479,Orlando Miracle,2000
7-Aug-00,Washington Mystics,Regular season,Amway Arena,"Orlando, FL",7090,Orlando Miracle,2000
11-Aug-00,Cleveland Rockers,Eastern Conference Semifinals,Amway Arena,"Orlando, FL",6265,Orlando Miracle,2000
1-Jun-01,Los Angeles Sparks,Regular season,Amway Arena,"Orlando, FL",10102,Orlando Miracle,2001
9-Jun-01,Charlotte Sting,Regular season,Amway Arena,"Orlando, FL",7211,Orlando Miracle,2001
23-Jun-01,Washington Mystics,Regular season,Amway Arena,"Orlando, FL",8078,Orlando Miracle,2001
25-Jun-01,New York Liberty,Regular season,Amway Arena,"Orlando, FL",6282,Orlando Miracle,2001
27-Jun-01,Cleveland Rockers,Regular season,Amway Arena,"Orlando, FL",5396,Orlando Miracle,2001
6-Jul-01,Sacramento Monarchs,Regular season,Amway Arena,"Orlando, FL",11068,Orlando Miracle,2001
8-Jul-01,Detroit Shock,Regular season,Amway Arena,"Orlando, FL",6870,Orlando Miracle,2001
10-Jul-01,Miami Sol,Regular season,Amway Arena,"Orlando, FL",5363,Orlando Miracle,2001
18-Jul-01,Houston Comets,Regular season,Amway Arena,"Orlando, FL",6170,Orlando Miracle,2001
21-Jul-01,Minnesota Lynx,Regular season,Amway Arena,"Orlando, FL",7574,Orlando Miracle,2001
24-Jul-01,Washington Mystics,Regular season,Amway Arena,"Orlando, FL",5878,Orlando Miracle,2001
1-Aug-01,Portland Fire,Regular season,Amway Arena,"Orlando, FL",6134,Orlando Miracle,2001
5-Aug-01,Phoenix Mercury,Regular season,Amway Arena,"Orlando, FL",6334,Orlando Miracle,2001
7-Aug-01,Cleveland Rockers,Regular season,Amway Arena,"Orlando, FL",5941,Orlando Miracle,2001
11-Aug-01,Miami Sol,Regular season,Amway Arena,"Orlando, FL",11903,Orlando Miracle,2001
14-Aug-01,Indiana Fever,Regular season,Amway Arena,"Orlando, FL",8570,Orlando Miracle,2001
30-May-02,Detroit Shock,Regular season,Amway Arena,"Orlando, FL",13111,Orlando Miracle,2002
8-Jun-02,Cleveland Rockers,Regular season,Amway Arena,"Orlando, FL",7255,Orlando Miracle,2002
11-Jun-02,Indiana Fever,Regular season,Amway Arena,"Orlando, FL",4323,Orlando Miracle,2002
15-Jun-02,Miami Sol,Regular season,Amway Arena,"Orlando, FL",7215,Orlando Miracle,2002
23-Jun-02,New York Liberty,Regular season,Amway Arena,"Orlando, FL",7911,Orlando Miracle,2002
3-Jul-02,Indiana Fever,Regular season,Amway Arena,"Orlando, FL",4715,Orlando Miracle,2002
6-Jul-02,Phoenix Mercury,Regular season,Amway Arena,"Orlando, FL",8140,Orlando Miracle,2002
8-Jul-02,Washington Mystics,Regular season,Amway Arena,"Orlando, FL",5605,Orlando Miracle,2002
12-Jul-02,Charlotte Sting,Regular season,Amway Arena,"Orlando, FL",7728,Orlando Miracle,2002
19-Jul-02,Utah Starzz,Regular season,Amway Arena,"Orlando, FL",8427,Orlando Miracle,2002
25-Jul-02,Seattle Storm,Regular season,Amway Arena,"Orlando, FL",6449,Orlando Miracle,2002
1-Aug-02,Charlotte Sting,Regular season,Amway Arena,"Orlando, FL",5980,Orlando Miracle,2002
4-Aug-02,Portland Fire,Regular season,Amway Arena,"Orlando, FL",5822,Orlando Miracle,2002
8-Aug-02,Sacramento Monarchs,Regular season,Amway Arena,"Orlando, FL",5735,Orlando Miracle,2002
11-Aug-02,Detroit Shock,Regular season,Amway Arena,"Orlando, FL",7286,Orlando Miracle,2002
13-Aug-02,New York Liberty,Regular season,Amway Arena,"Orlando, FL",8135,Orlando Miracle,2002
22-Jun-97,Charlotte Sting,Regular season,US Airways Center,"Phoenix, AZ",16102,Phoenix Mercury,1997
7-Jul-97,New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",13731,Phoenix Mercury,1997
9-Jul-97,Houston Comets,Regular season,US Airways Center,"Phoenix, AZ",11892,Phoenix Mercury,1997
16-Jul-97,Sacramento Monarchs,Regular season,US Airways Center,"Phoenix, AZ",12636,Phoenix Mercury,1997
22-Jul-97,Houston Comets,Regular season,US Airways Center,"Phoenix, AZ",12581,Phoenix Mercury,1997
25-Jul-97,Los Angeles Sparks,Regular season,US Airways Center,"Phoenix, AZ",15648,Phoenix Mercury,1997
28-Jul-97,Cleveland Rockers,Regular season,US Airways Center,"Phoenix, AZ",11012,Phoenix Mercury,1997
4-Aug-97,Sacramento Monarchs,Regular season,US Airways Center,"Phoenix, AZ",10898,Phoenix Mercury,1997
6-Aug-97,Utah Starzz,Regular season,US Airways Center,"Phoenix, AZ",11694,Phoenix Mercury,1997
12-Aug-97,New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",16371,Phoenix Mercury,1997
14-Aug-97,Cleveland Rockers,Regular season,US Airways Center,"Phoenix, AZ",11818,Phoenix Mercury,1997
17-Aug-97,Utah Starzz,Regular season,US Airways Center,"Phoenix, AZ",14591,Phoenix Mercury,1997
22-Aug-97,Charlotte Sting,Regular season,US Airways Center,"Phoenix, AZ",15114,Phoenix Mercury,1997
24-Aug-97,Los Angeles Sparks,Regular season,US Airways Center,"Phoenix, AZ",17747,Phoenix Mercury,1997
28-Aug-97,New York Liberty,Semifinals,US Airways Center,"Phoenix, AZ",16751,Phoenix Mercury,1997
14-Jun-98,Los Angeles Sparks,Regular season,US Airways Center,"Phoenix, AZ",13057,Phoenix Mercury,1998
15-Jun-98,Washington Mystics,Regular season,US Airways Center,"Phoenix, AZ",12522,Phoenix Mercury,1998
21-Jun-98,Charlotte Sting,Regular season,US Airways Center,"Phoenix, AZ",13503,Phoenix Mercury,1998
24-Jun-98,Houston Comets,Regular season,US Airways Center,"Phoenix, AZ",12622,Phoenix Mercury,1998
26-Jun-98,Utah Starzz,Regular season,US Airways Center,"Phoenix, AZ",13676,Phoenix Mercury,1998
10-Jul-98,Cleveland Rockers,Regular season,US Airways Center,"Phoenix, AZ",13407,Phoenix Mercury,1998
13-Jul-98,Los Angeles Sparks,Regular season,US Airways Center,"Phoenix, AZ",13071,Phoenix Mercury,1998
15-Jul-98,Detroit Shock,Regular season,US Airways Center,"Phoenix, AZ",13002,Phoenix Mercury,1998
18-Jul-98,New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",14655,Phoenix Mercury,1998
20-Jul-98,Sacramento Monarchs,Regular season,US Airways Center,"Phoenix, AZ",13257,Phoenix Mercury,1998
21-Jul-98,Houston Comets,Regular season,US Airways Center,"Phoenix, AZ",14705,Phoenix Mercury,1998
4-Aug-98,Washington Mystics,Regular season,US Airways Center,"Phoenix, AZ",13589,Phoenix Mercury,1998
8-Aug-98,Utah Starzz,Regular season,US Airways Center,"Phoenix, AZ",16823,Phoenix Mercury,1998
14-Aug-98,Detroit Shock,Regular season,US Airways Center,"Phoenix, AZ",14398,Phoenix Mercury,1998
19-Aug-98,Sacramento Monarchs,Regular season,US Airways Center,"Phoenix, AZ",14189,Phoenix Mercury,1998
22-Aug-98,Cleveland Rockers,Semifinals,US Airways Center,"Phoenix, AZ",11631,Phoenix Mercury,1998
27-Aug-98,Houston Comets,Finals,US Airways Center,"Phoenix, AZ",13634,Phoenix Mercury,1998
14-Jun-99,Sacramento Monarchs,Regular season,US Airways Center,"Phoenix, AZ",13228,Phoenix Mercury,1999
19-Jun-99,Cleveland Rockers,Regular season,US Airways Center,"Phoenix, AZ",13024,Phoenix Mercury,1999
7-Jul-99,Los Angeles Sparks,Regular season,US Airways Center,"Phoenix, AZ",11366,Phoenix Mercury,1999
9-Jul-99,Houston Comets,Regular season,US Airways Center,"Phoenix, AZ",12236,Phoenix Mercury,1999
17-Jul-99,Los Angeles Sparks,Regular season,US Airways Center,"Phoenix, AZ",13483,Phoenix Mercury,1999
19-Jul-99,Houston Comets,Regular season,US Airways Center,"Phoenix, AZ",12285,Phoenix Mercury,1999
23-Jul-99,Orlando Miracle,Regular season,US Airways Center,"Phoenix, AZ",12226,Phoenix Mercury,1999
25-Jul-99,Washington Mystics,Regular season,US Airways Center,"Phoenix, AZ",11776,Phoenix Mercury,1999
27-Jul-99,Utah Starzz,Regular season,US Airways Center,"Phoenix, AZ",11990,Phoenix Mercury,1999
29-Jul-99,Minnesota Lynx,Regular season,US Airways Center,"Phoenix, AZ",12120,Phoenix Mercury,1999
6-Aug-99,New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",12884,Phoenix Mercury,1999
9-Aug-99,Minnesota Lynx,Regular season,US Airways Center,"Phoenix, AZ",11964,Phoenix Mercury,1999
11-Aug-99,Detroit Shock,Regular season,US Airways Center,"Phoenix, AZ",11352,Phoenix Mercury,1999
15-Aug-99,Charlotte Sting,Regular season,US Airways Center,"Phoenix, AZ",11868,Phoenix Mercury,1999
17-Aug-99,Sacramento Monarchs,Regular season,US Airways Center,"Phoenix, AZ",11328,Phoenix Mercury,1999
20-Aug-99,Utah Starzz,Regular season,US Airways Center,"Phoenix, AZ",12378,Phoenix Mercury,1999
31-May-00,New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",10540,Phoenix Mercury,2000
7-Jun-00,Seattle Storm,Regular season,US Airways Center,"Phoenix, AZ",9509,Phoenix Mercury,2000
14-Jun-00,Portland Fire,Regular season,US Airways Center,"Phoenix, AZ",9919,Phoenix Mercury,2000
17-Jun-00,Minnesota Lynx,Regular season,US Airways Center,"Phoenix, AZ",10498,Phoenix Mercury,2000
6-Jul-00,Detroit Shock,Regular season,US Airways Center,"Phoenix, AZ",10497,Phoenix Mercury,2000
11-Jul-00,Minnesota Lynx,Regular season,US Airways Center,"Phoenix, AZ",9675,Phoenix Mercury,2000
13-Jul-00,Sacramento Monarchs,Regular season,US Airways Center,"Phoenix, AZ",9747,Phoenix Mercury,2000
19-Jul-00,Utah Starzz,Regular season,US Airways Center,"Phoenix, AZ",9327,Phoenix Mercury,2000
21-Jul-00,Los Angeles Sparks,Regular season,US Airways Center,"Phoenix, AZ",11053,Phoenix Mercury,2000
24-Jul-00,Cleveland Rockers,Regular season,US Airways Center,"Phoenix, AZ",9327,Phoenix Mercury,2000
26-Jul-00,Indiana Fever,Regular season,US Airways Center,"Phoenix, AZ",9487,Phoenix Mercury,2000
30-Jul-00,Sacramento Monarchs,Regular season,US Airways Center,"Phoenix, AZ",11337,Phoenix Mercury,2000
1-Aug-00,Orlando Miracle,Regular season,US Airways Center,"Phoenix, AZ",9564,Phoenix Mercury,2000
3-Aug-00,Seattle Storm,Regular season,US Airways Center,"Phoenix, AZ",9439,Phoenix Mercury,2000
5-Aug-00,Los Angeles Sparks,Regular season,US Airways Center,"Phoenix, AZ",11390,Phoenix Mercury,2000
7-Aug-00,Houston Comets,Regular season,US Airways Center,"Phoenix, AZ",10770,Phoenix Mercury,2000
11-Aug-00,Los Angeles Sparks,Western Conference Semifinals,US Airways Center,"Phoenix, AZ",6167,Phoenix Mercury,2000
30-May-01,Utah Starzz,Regular season,US Airways Center,"Phoenix, AZ",9057,Phoenix Mercury,2001
5-Jun-01,Charlotte Sting,Regular season,US Airways Center,"Phoenix, AZ",7008,Phoenix Mercury,2001
10-Jun-01,Houston Comets,Regular season,US Airways Center,"Phoenix, AZ",8883,Phoenix Mercury,2001
12-Jun-01,Sacramento Monarchs,Regular season,US Airways Center,"Phoenix, AZ",7113,Phoenix Mercury,2001
16-Jun-01,Orlando Miracle,Regular season,US Airways Center,"Phoenix, AZ",8323,Phoenix Mercury,2001
21-Jun-01,New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",8638,Phoenix Mercury,2001
22-Jun-01,Seattle Storm,Regular season,US Airways Center,"Phoenix, AZ",7123,Phoenix Mercury,2001
4-Jul-01,Miami Sol,Regular season,US Airways Center,"Phoenix, AZ",6680,Phoenix Mercury,2001
7-Jul-01,Washington Mystics,Regular season,US Airways Center,"Phoenix, AZ",7463,Phoenix Mercury,2001
11-Jul-01,Los Angeles Sparks,Regular season,US Airways Center,"Phoenix, AZ",7649,Phoenix Mercury,2001
19-Jul-01,Portland Fire,Regular season,US Airways Center,"Phoenix, AZ",8232,Phoenix Mercury,2001
21-Jul-01,Utah Starzz,Regular season,US Airways Center,"Phoenix, AZ",8378,Phoenix Mercury,2001
26-Jul-01,Detroit Shock,Regular season,US Airways Center,"Phoenix, AZ",8508,Phoenix Mercury,2001
1-Aug-01,Minnesota Lynx,Regular season,US Airways Center,"Phoenix, AZ",8927,Phoenix Mercury,2001
11-Aug-01,Portland Fire,Regular season,US Airways Center,"Phoenix, AZ",10823,Phoenix Mercury,2001
14-Aug-01,Houston Comets,Regular season,US Airways Center,"Phoenix, AZ",14177,Phoenix Mercury,2001
1-Jun-02,Utah Starzz,Regular season,US Airways Center,"Phoenix, AZ",9647,Phoenix Mercury,2002
3-Jun-02,Washington Mystics,Regular season,US Airways Center,"Phoenix, AZ",7984,Phoenix Mercury,2002
9-Jun-02,Charlotte Sting,Regular season,US Airways Center,"Phoenix, AZ",7875,Phoenix Mercury,2002
13-Jun-02,Detroit Shock,Regular season,US Airways Center,"Phoenix, AZ",7358,Phoenix Mercury,2002
14-Jun-02,Seattle Storm,Regular season,US Airways Center,"Phoenix, AZ",8237,Phoenix Mercury,2002
18-Jun-02,Sacramento Monarchs,Regular season,US Airways Center,"Phoenix, AZ",7199,Phoenix Mercury,2002
23-Jun-02,Minnesota Lynx,Regular season,US Airways Center,"Phoenix, AZ",7623,Phoenix Mercury,2002
26-Jun-02,Seattle Storm,Regular season,US Airways Center,"Phoenix, AZ",7836,Phoenix Mercury,2002
28-Jun-02,Los Angeles Sparks,Regular season,US Airways Center,"Phoenix, AZ",8596,Phoenix Mercury,2002
11-Jul-02,Houston Comets,Regular season,US Airways Center,"Phoenix, AZ",8495,Phoenix Mercury,2002
21-Jul-02,Portland Fire,Regular season,US Airways Center,"Phoenix, AZ",8694,Phoenix Mercury,2002
27-Jul-02,Sacramento Monarchs,Regular season,US Airways Center,"Phoenix, AZ",9344,Phoenix Mercury,2002
29-Jul-02,Minnesota Lynx,Regular season,US Airways Center,"Phoenix, AZ",9177,Phoenix Mercury,2002
31-Jul-02,Indiana Fever,Regular season,US Airways Center,"Phoenix, AZ",10100,Phoenix Mercury,2002
7-Aug-02,Cleveland Rockers,Regular season,US Airways Center,"Phoenix, AZ",10286,Phoenix Mercury,2002
13-Aug-02,Los Angeles Sparks,Regular season,US Airways Center,"Phoenix, AZ",11347,Phoenix Mercury,2002
22-May-03,Sacramento Monarchs,Regular season,US Airways Center,"Phoenix, AZ",9303,Phoenix Mercury,2003
24-May-03,Houston Comets,Regular season,US Airways Center,"Phoenix, AZ",8758,Phoenix Mercury,2003
28-May-03,San Antonio Silver Stars,Regular season,US Airways Center,"Phoenix, AZ",6840,Phoenix Mercury,2003
12-Jun-03,Charlotte Sting,Regular season,US Airways Center,"Phoenix, AZ",6464,Phoenix Mercury,2003
